"Date","Price","Open","High","Low","Vol.","Change %"
"22-01-2025","4,162.00","4,050.00","4,162.00","4,047.55","2.11M","3.13%"
"21-01-2025","4,035.85","4,095.30","4,035.85","4,035.85","1.97M","-1.03%"
"20-01-2025","4,077.80","4,145.80","4,145.80","4,068.10","1.29M","-1.13%"
"17-01-2025","4,124.30","4,159.90","4,160.60","4,100.05","1.76M","-0.39%"
"16-01-2025","4,140.30","4,193.16","4,226.62","4,126.08","2.64M","-1.02%"
"15-01-2025","4,182.92","4,151.82","4,189.66","4,141.43","1.65M","0.39%"
"14-01-2025","4,166.63","4,234.50","4,246.21","4,152.85","3.44M","-1.35%"
"13-01-2025","4,223.77","4,178.39","4,255.12","4,161.07","4.00M","0.60%"
"10-01-2025","4,198.72","4,134.10","4,229.58","4,104.57","7.89M","3.96%"
"09-01-2025","4,038.85","4,101.00","4,137.75","4,025.30","2.39M","-1.69%"
"08-01-2025","4,108.40","4,034.90","4,126.00","4,017.75","2.18M","1.99%"
"07-01-2025","4,028.30","4,114.95","4,140.35","4,011.55","2.67M","-1.63%"
"06-01-2025","4,095.00","4,105.50","4,149.65","4,066.40","2.09M","-0.12%"
"03-01-2025","4,099.90","4,179.95","4,179.95","4,092.30","1.79M","-1.82%"
"02-01-2025","4,175.75","4,120.00","4,183.00","4,096.95","1.72M","1.54%"
"01-01-2025","4,112.45","4,094.40","4,134.00","4,085.45","763.16K","0.43%"
"31-12-2024","4,094.80","4,135.00","4,139.95","4,032.05","1.56M","-1.54%"
"30-12-2024","4,158.80","4,151.00","4,199.30","4,112.00","1.53M","-0.15%"
"27-12-2024","4,164.85","4,163.00","4,180.95","4,147.25","858.10K","-0.10%"
"26-12-2024","4,169.10","4,179.50","4,199.95","4,143.15","1.21M","-0.25%"
"24-12-2024","4,179.50","4,158.30","4,218.00","4,158.30","1.18M","0.51%"
"23-12-2024","4,158.30","4,200.05","4,217.00","4,114.90","2.20M","-0.29%"